gender;income_type;education;age_group;dob_years;family_status;children;education_id;family_status_id;debt;total_income;years_employed;purpose;total_income_group
F;employee;secondary education;adult;49;unmarried;1;1;4;0;17021,747;2,847812988;getting an education;income less than 20000
F;business;secondary education;adult;37;married;2;1;0;0;29229,194;6,199211791;purchase of a car;income between 20k to 39k
M;civil servant;bachelor's degree;adult;33;civil partnership;1;0;1;0;57004,465;7,367499381;wedding ceremony;income between 40k to 79k
F;employee;secondary education;adult;45;married;0;1;0;0;25930,483;9,153610648;housing transactions;income between 20k to 39k
F;employee;secondary education;older adult;54;married;0;1;0;0;7134,689;3,236830762;purchase of a car;income less than 20000
F;retiree;secondary education;older adult;63;married;0;1;0;0;14774,837;9,346933943;purchase of a car;income less than 20000
F;employee;bachelor's degree;older adult;50;civil partnership;1;0;1;0;32511,949;19,05104563;wedding ceremony;income between 20k to 39k
F;employee;secondary education;young adult;28;married;1;1;0;0;8439,428;9,738826098;getting an education;income less than 20000
F;business;secondary education;older adult;61;divorced;0;1;3;0;49832,576;11,56132434;housing transactions;income between 40k to 79k
F;employee;bachelor's degree;young adult;27;civil partnership;0;0;1;0;14758,21;9,534446008;purchase of a car;income less than 20000
F;retiree;secondary education;older adult;54;civil partnership;0;1;1;1;21037,5562;9,413129869;wedding ceremony;income between 20k to 39k
F;retiree;secondary education;older adult;64;widow / widower;0;1;2;0;23862,567;4,564421639;getting an education;income between 20k to 39k
F;employee;secondary education;adult;44;widow / widower;0;1;2;0;9378,625;6,643314381;getting an education;income less than 20000
M;employee;bachelor's degree;adult;36;married;0;0;0;0;66304,672;0,918681179;housing transactions;income between 40k to 79k
F;business;secondary education;older adult;53;civil partnership;0;1;1;0;41819,121;11,89530623;real estate transactions;income between 40k to 79k
M;employee;secondary education;adult;48;married;1;1;0;0;20784,365;6,943732576;getting an education;income between 20k to 39k
F;employee;secondary education;adult;42;civil partnership;0;1;1;0;27837,996;8,181375672;real estate transactions;income between 20k to 39k
M;civil servant;bachelor's degree;adult;48;unmarried;0;0;4;0;69662,111;21,49492941;getting an education;income between 40k to 79k
F;employee;secondary education;adult;45;married;0;1;0;0;17600,698;3,239856832;housing transactions;income less than 20000
M;employee;some college;adult;35;unmarried;0;2;4;0;45264,075;0,325729894;purchase of a car;income between 40k to 79k
M;business;secondary education;young adult;21;unmarried;0;1;4;0;29633,16286;3,153057631;real estate transactions;income between 20k to 39k
M;employee;secondary education;young adult;28;married;0;1;0;0;23234,324;2,510763916;getting an education;income between 20k to 39k
F;retiree;bachelor's degree;older adult;52;married;0;0;0;0;25845,28121;10,49165661;housing transactions;income between 20k to 39k
M;business;bachelor's degree;adult;46;married;2;0;0;0;94731,434;5,897193223;real estate transactions;income between 80k to 120k
F;employee;secondary education;young adult;23;unmarried;0;1;4;0;14599,529;2,134872463;housing transactions;income less than 20000
M;civil servant;bachelor's degree;young adult;28;married;1;0;0;0;33209,835;7,677333346;real estate transactions;income between 20k to 39k
F;retiree;secondary education;older adult;62;married;0;1;0;0;7028,751;7,717587349;purchase of a car;income less than 20000
M;civil servant;bachelor's degree;adult;32;married;1;0;0;0;42728,89487;10,19837262;real estate transactions;income between 40k to 79k
M;employee;secondary education;adult;40;civil partnership;0;1;1;0;15671,495;4,471066856;getting an education;income less than 20000
F;employee;secondary education;adult;45;married;1;1;0;0;12982,845;14,00148961;housing transactions;income less than 20000
M;employee;secondary education;adult;38;married;1;1;0;1;13109,661;8,090827254;real estate transactions;income less than 20000
M;employee;bachelor's degree;adult;44;married;1;0;0;0;23838,725;6,170391019;purchase of a car;income between 20k to 39k
F;employee;bachelor's degree;adult;43;unmarried;0;0;4;0;22535,036;1,991626769;purchase of a car;income between 20k to 39k
M;retiree;bachelor's degree;older adult;61;married;0;0;0;0;28020,423;7,391898589;purchase of a car;income between 20k to 39k
M;business;secondary education;young adult;27;unmarried;0;1;4;0;40589,074;8,981634935;purchase of a car;income between 40k to 79k
F;business;secondary education;young adult;25;unmarried;0;1;4;0;13238,466;0,348862856;purchase of a car;income less than 20000
F;employee;secondary education;adult;33;married;0;1;0;0;17733,314;0,560748399;getting an education;income less than 20000
F;employee;bachelor's degree;older adult;50;married;2;0;0;0;31532,97975;10,8295096;housing transactions;income between 20k to 39k
M;employee;secondary education;older adult;52;married;0;1;0;0;26656,53919;7,42576573;housing transactions;income between 20k to 39k
F;civil servant;secondary education;older adult;53;married;0;1;0;0;40945,468;19,52113706;real estate transactions;income between 40k to 79k
M;employee;secondary education;adult;30;married;0;1;0;0;8659,769;0,756147527;getting an education;income less than 20000
M;retiree;secondary education;older adult;64;civil partnership;0;1;1;0;38885,353;26,82813545;wedding ceremony;income between 20k to 39k
F;retiree;secondary education;older adult;53;married;0;1;0;0;11898,217;9,737126969;housing transactions;income less than 20000
F;retiree;bachelor's degree;older adult;63;civil partnership;0;0;1;0;33099,576;36,55619357;wedding ceremony;income between 20k to 39k
F;business;secondary education;adult;42;civil partnership;0;1;1;0;7914,227;0,198974754;purchase of a car;income less than 20000
F;employee;bachelor's degree;adult;35;married;2;0;0;0;28728,33911;6,650129225;housing transactions;income between 20k to 39k
F;employee;secondary education;adult;39;married;2;1;0;0;24941,897;13,7287601;real estate transactions;income between 20k to 39k
F;employee;bachelor's degree;adult;40;civil partnership;1;0;1;0;30623,674;4,57336899;wedding ceremony;income between 20k to 39k
M;employee;secondary education;adult;32;married;1;1;0;1;52982,334;3,96334943;purchase of a car;income between 40k to 79k
F;business;bachelor's degree;adult;34;civil partnership;1;0;1;0;35474,59921;5,862673568;wedding ceremony;income between 20k to 39k
F;employee;bachelor's degree;older adult;51;married;0;0;0;0;15070,06;1,484471894;purchase of a car;income less than 20000
F;employee;secondary education;adult;44;married;0;1;0;0;22483,81513;6,944397103;real estate transactions;income between 20k to 39k
F;employee;bachelor's degree;adult;47;married;0;0;0;0;28728,33911;6,650129225;getting an education;income between 20k to 39k
F;retiree;bachelor's degree;older adult;54;married;0;0;0;0;31953,168;8,485190728;housing transactions;income between 20k to 39k
F;employee;secondary education;adult;49;widow / widower;0;1;2;1;28221,581;1,657606688;real estate transactions;income between 20k to 39k
F;retiree;secondary education;elder;65;married;0;1;0;0;25275,278;13,87926719;purchase of a car;income between 20k to 39k
F;business;secondary education;older adult;51;civil partnership;0;1;1;0;20273,056;3,773828041;purchase of a car;income between 20k to 39k
F;employee;secondary education;adult;39;unmarried;1;1;4;0;22757,038;2,433653006;housing transactions;income between 20k to 39k
F;retiree;secondary education;older adult;59;unmarried;0;1;4;0;26173,112;4,455364499;housing transactions;income between 20k to 39k
F;employee;secondary education;older adult;62;widow / widower;0;1;2;0;12301,47;5,749661086;housing transactions;income less than 20000
F;employee;secondary education;young adult;29;civil partnership;1;1;1;0;27499,477;0,823678338;getting an education;income between 20k to 39k
F;business;bachelor's degree;young adult;24;civil partnership;0;0;1;0;32478,203;4,091641416;housing transactions;income between 20k to 39k
F;employee;bachelor's degree;adult;33;civil partnership;2;0;1;0;28808,28;2,064293266;purchase of a car;income between 20k to 39k
F;employee;secondary education;older adult;59;married;0;1;0;0;17222,988;5,883486596;getting an education;income less than 20000
M;civil servant;secondary education;adult;41;married;0;1;0;0;18968,257;1,13419891;housing transactions;income less than 20000
F;business;secondary education;older adult;61;unmarried;0;1;4;0;27823,459;35,42614158;housing transactions;income between 20k to 39k
M;employee;bachelor's degree;young adult;28;married;1;0;0;0;44949,489;5,044816697;housing transactions;income between 40k to 79k
F;civil servant;secondary education;older adult;52;married;0;1;0;0;19304,816;16,66847871;getting an education;income less than 20000
F;employee;bachelor's degree;young adult;26;married;0;0;0;1;22955,474;4,383230579;real estate transactions;income between 20k to 39k
F;civil servant;bachelor's degree;adult;38;married;1;0;0;0;15655,724;6,914651776;real estate transactions;income less than 20000
M;employee;secondary education;older adult;50;married;1;1;0;0;13338,611;1,479557329;real estate transactions;income less than 20000
F;employee;secondary education;adult;41;divorced;0;1;3;0;28636,021;10,45784464;purchase of a car;income between 20k to 39k
M;business;secondary education;adult;33;civil partnership;2;1;1;0;18171,554;7,601794896;wedding ceremony;income less than 20000
F;retiree;secondary education;older adult;60;unmarried;0;1;4;0;5045,56;8,848356224;real estate transactions;income less than 20000
F;employee;secondary education;adult;46;married;0;1;0;0;22483,81513;6,944397103;getting an education;income between 20k to 39k
F;business;bachelor's degree;young adult;29;married;0;0;0;0;29474,18955;3,113412086;purchase of a car;income between 20k to 39k
F;business;bachelor's degree;older adult;55;married;0;0;0;0;16580,491;0,468938139;purchase of a car;income less than 20000
M;employee;secondary education;adult;39;married;2;1;0;0;13422,851;15,66769562;housing transactions;income less than 20000
F;employee;secondary education;adult;38;married;0;1;0;1;28007,428;2,960314472;real estate transactions;income between 20k to 39k
F;business;bachelor's degree;older adult;64;civil partnership;0;0;1;0;29825,399;0,523689714;wedding ceremony;income between 20k to 39k
M;business;secondary education;adult;49;married;1;1;0;0;54322,778;6,771365895;housing transactions;income between 40k to 79k
F;employee;bachelor's degree;adult;43;unmarried;0;0;4;0;32524,736;14,32753991;real estate transactions;income between 20k to 39k
F;retiree;secondary education;elder;67;divorced;0;1;3;0;17973,086;6,420317566;purchase of a car;income less than 20000
M;retiree;secondary education;older adult;61;civil partnership;0;1;1;0;16583,189;13,93927676;purchase of a car;income less than 20000
F;business;secondary education;adult;42;married;0;1;0;0;15335,319;2,458418645;real estate transactions;income less than 20000
M;employee;secondary education;older adult;58;married;0;1;0;0;11782,014;1,752232076;getting an education;income less than 20000
M;employee;secondary education;adult;45;married;1;1;0;0;39396,479;3,579256044;purchase of a car;income between 20k to 39k
F;retiree;secondary education;older adult;64;married;0;1;0;0;12647,624;12,32128662;getting an education;income less than 20000
F;employee;some college;adult;46;divorced;1;2;3;0;26562,526;11,42769227;real estate transactions;income between 20k to 39k
M;business;secondary education;young adult;27;married;0;1;0;0;29633,16286;3,153057631;housing transactions;income between 20k to 39k
M;retiree;primary education;older adult;60;married;0;3;0;0;18099,872;5,481511197;real estate transactions;income less than 20000
M;employee;bachelor's degree;young adult;28;civil partnership;1;0;1;0;43107,834;5,232979705;wedding ceremony;income between 40k to 79k
F;civil servant;secondary education;adult;43;married;0;1;0;0;19172,425;7,046721021;housing transactions;income less than 20000
M;business;some college;young adult;29;married;0;2;0;0;31509,132;4,837143525;housing transactions;income between 20k to 39k
F;employee;secondary education;young adult;24;civil partnership;0;1;1;0;16337,758;8,26789607;real estate transactions;income less than 20000
M;employee;secondary education;adult;39;civil partnership;0;1;1;0;28311,78747;5,836026168;wedding ceremony;income between 20k to 39k
F;retiree;secondary education;older adult;54;married;0;1;0;0;17324,903;9,083908849;purchase of a car;income less than 20000
F;employee;secondary education;adult;48;widow / widower;0;1;2;0;24171,11;5,187122818;housing transactions;income between 20k to 39k
F;employee;secondary education;adult;45;civil partnership;1;1;1;0;45479,693;5,768171683;purchase of a car;income between 40k to 79k
M;retiree;secondary education;older adult;62;married;0;1;0;0;23498,35696;9,955550766;housing transactions;income between 20k to 39k
F;employee;secondary education;adult;46;married;0;1;0;0;15793,557;3,567194636;housing transactions;income less than 20000
F;civil servant;secondary education;adult;47;married;0;1;0;1;11925,616;15,81501341;real estate transactions;income less than 20000
F;employee;secondary education;adult;37;married;0;1;0;0;23225,474;13,83641874;purchase of a car;income between 20k to 39k
F;retiree;secondary education;elder;71;civil partnership;0;1;1;0;27854,127;8,624553578;wedding ceremony;income between 20k to 39k
F;business;bachelor's degree;adult;37;civil partnership;0;0;1;0;74094,397;2,456061291;wedding ceremony;income between 40k to 79k
F;business;secondary education;adult;39;married;1;1;0;0;6542,581;9,856921611;housing transactions;income less than 20000
M;business;secondary education;young adult;20;married;1;1;0;1;21560,12;0,363694619;housing transactions;income between 20k to 39k
F;employee;bachelor's degree;adult;41;widow / widower;1;0;2;0;22898,133;4,942275631;real estate transactions;income between 20k to 39k
F;business;secondary education;adult;40;married;0;1;0;0;11326,134;3,311222407;getting an education;income less than 20000
M;retiree;secondary education;elder;65;married;0;1;0;0;41806,566;13,87926719;getting an education;income between 40k to 79k
F;retiree;secondary education;adult;38;married;0;1;0;1;18169,704;6,646527747;purchase of a car;income less than 20000
F;employee;secondary education;older adult;56;married;0;1;0;0;12887,558;30,14133998;getting an education;income less than 20000
F;retiree;secondary education;older adult;59;unmarried;0;1;4;0;23926,857;4,455364499;purchase of a car;income between 20k to 39k
M;employee;secondary education;adult;45;civil partnership;0;1;1;0;31741,888;5,652667049;housing transactions;income between 20k to 39k
F;employee;bachelor's degree;adult;39;married;1;0;0;0;13937,139;3,144086678;purchase of a car;income less than 20000
M;employee;secondary education;older adult;62;married;0;1;0;0;10652,419;10,28998094;getting an education;income less than 20000
M;employee;secondary education;older adult;50;married;0;1;0;0;12636,092;20,47644646;housing transactions;income less than 20000
F;employee;bachelor's degree;young adult;27;married;2;0;0;1;59133,934;6,458967709;purchase of a car;income between 40k to 79k
M;civil servant;bachelor's degree;adult;32;married;2;0;0;0;36526,28;3,476358043;housing transactions;income between 20k to 39k
M;employee;secondary education;adult;38;civil partnership;0;1;1;0;23051,794;1,233044774;housing transactions;income between 20k to 39k
F;civil servant;secondary education;older adult;56;civil partnership;0;1;1;0;35315,049;19,7788386;wedding ceremony;income between 20k to 39k
F;retiree;secondary education;elder;67;widow / widower;0;1;2;0;22246,231;19,2917827;housing transactions;income between 20k to 39k
F;retiree;secondary education;older adult;58;civil partnership;0;1;1;0;26857,872;5,779938123;purchase of a car;income between 20k to 39k
M;employee;bachelor's degree;young adult;28;unmarried;0;0;4;0;19475,503;0,499251297;housing transactions;income less than 20000
F;business;secondary education;older adult;60;civil partnership;0;1;1;0;36031,647;26,20888074;wedding ceremony;income between 20k to 39k
F;employee;secondary education;adult;49;married;0;1;0;0;29276,818;12,7456654;housing transactions;income between 20k to 39k
M;business;secondary education;adult;49;married;0;1;0;0;66633,9;24,931357;real estate transactions;income between 40k to 79k
F;business;bachelor's degree;older adult;55;widow / widower;0;0;2;0;40252,30985;8,573911836;purchase of a car;income between 40k to 79k
F;employee;secondary education;adult;38;married;2;1;0;0;22593,709;4,752715101;housing transactions;income between 20k to 39k
F;retiree;secondary education;older adult;60;married;0;1;0;0;16739,371;10,27668033;getting an education;income less than 20000
M;civil servant;secondary education;adult;48;married;2;1;0;0;27691,871;5,778944358;purchase of a car;income between 20k to 39k
F;retiree;secondary education;older adult;59;widow / widower;0;1;2;0;13963,005;11,52467033;purchase of a car;income less than 20000
F;employee;secondary education;adult;43;unmarried;0;1;4;0;28446,402;3,22480927;housing transactions;income between 20k to 39k
F;employee;secondary education;adult;37;civil partnership;0;1;1;0;33961,154;0,166129665;wedding ceremony;income between 20k to 39k
F;business;secondary education;young adult;26;civil partnership;0;1;1;1;23396,32545;3,229774892;housing transactions;income between 20k to 39k
F;employee;secondary education;adult;49;civil partnership;1;1;1;0;13027,153;22,36803619;wedding ceremony;income less than 20000
M;business;bachelor's degree;adult;35;civil partnership;1;0;1;1;43550,88;0,455520649;getting an education;income between 40k to 79k
M;retiree;bachelor's degree;older adult;57;married;0;0;0;0;22614,059;6,269783087;housing transactions;income between 20k to 39k
M;employee;secondary education;adult;32;civil partnership;0;1;1;1;25744,913;13,77049167;getting an education;income between 20k to 39k
F;employee;secondary education;adult;34;divorced;0;1;3;0;32264,057;0,616777231;real estate transactions;income between 20k to 39k
F;employee;bachelor's degree;adult;46;civil partnership;0;0;1;0;41606,026;2,402309891;getting an education;income between 40k to 79k
M;employee;secondary education;adult;48;married;0;1;0;0;27767,149;0,271769718;housing transactions;income between 20k to 39k
F;employee;secondary education;adult;30;unmarried;1;1;4;0;22483,81513;6,944397103;purchase of a car;income between 20k to 39k
M;business;secondary education;young adult;26;civil partnership;0;1;1;0;25742,636;0,919240976;wedding ceremony;income between 20k to 39k
F;retiree;secondary education;older adult;60;married;0;1;0;0;27831,736;10,27668033;getting an education;income between 20k to 39k
M;employee;secondary education;adult;47;married;0;1;0;0;34950,721;7,049689809;purchase of a car;income between 20k to 39k
F;retiree;bachelor's degree;older adult;60;divorced;0;0;3;0;15550,719;10,49165661;purchase of a car;income less than 20000
M;business;secondary education;young adult;24;civil partnership;0;1;1;0;21737,742;0,269348388;getting an education;income between 20k to 39k
F;employee;secondary education;older adult;51;married;0;1;0;0;40934,138;0,320898319;getting an education;income between 40k to 79k
F;business;bachelor's degree;adult;37;married;0;0;0;0;25720,728;4,355565482;housing transactions;income between 20k to 39k
F;employee;bachelor's degree;older adult;59;married;0;0;0;0;22535,94;33,24967502;real estate transactions;income between 20k to 39k
F;business;secondary education;older adult;52;unmarried;0;1;4;0;22267,106;3,844057068;purchase of a car;income between 20k to 39k
F;employee;secondary education;young adult;23;widow / widower;1;1;2;0;9367,94;0,612457583;purchase of a car;income less than 20000
F;employee;secondary education;adult;41;civil partnership;0;1;1;0;32180,168;15,15718407;housing transactions;income between 20k to 39k
F;business;secondary education;adult;39;married;0;1;0;0;13919,489;17,92455011;real estate transactions;income less than 20000
F;employee;secondary education;adult;38;married;1;1;0;1;14553,751;4,315955007;real estate transactions;income less than 20000
M;employee;secondary education;older adult;56;married;0;1;0;0;26203,964;7,752508918;housing transactions;income between 20k to 39k
F;retiree;secondary education;older adult;61;married;0;1;0;0;29009,248;9,650225528;real estate transactions;income between 20k to 39k
F;employee;bachelor's degree;adult;31;married;1;0;0;0;28728,33911;6,650129225;purchase of a car;income between 20k to 39k
F;retiree;secondary education;older adult;54;married;0;1;0;0;42747,633;9,083908849;getting an education;income between 40k to 79k
F;employee;secondary education;adult;37;unmarried;0;1;4;0;18037,741;3,704980567;housing transactions;income less than 20000
M;business;secondary education;young adult;22;civil partnership;0;1;1;0;25998,723;2,052536102;getting an education;income between 20k to 39k
F;employee;bachelor's degree;adult;38;married;2;0;0;0;31221,342;0,744028853;real estate transactions;income between 20k to 39k
F;retiree;primary education;older adult;55;widow / widower;2;3;2;0;25701,619;7,820843011;real estate transactions;income between 20k to 39k
F;employee;primary education;adult;41;civil partnership;0;3;1;0;5863,853;1,581571053;purchase of a car;income less than 20000
M;civil servant;bachelor's degree;adult;48;unmarried;0;0;4;0;38351,619;16,06372337;purchase of a car;income between 20k to 39k
M;employee;bachelor's degree;adult;38;civil partnership;1;0;1;1;37022,373;1,926694549;purchase of a car;income between 20k to 39k
F;employee;some college;adult;41;married;2;2;0;0;50327,519;3,619395132;housing transactions;income between 40k to 79k
F;business;bachelor's degree;adult;42;unmarried;0;0;4;0;41674,463;0,218850273;real estate transactions;income between 40k to 79k
F;employee;bachelor's degree;young adult;22;civil partnership;0;0;1;0;19001,243;0,975701902;getting an education;income less than 20000
F;retiree;secondary education;older adult;54;civil partnership;0;1;1;0;43134,241;7,306060928;housing transactions;income between 40k to 79k
F;employee;secondary education;adult;34;married;1;1;0;1;34114,255;8,012598319;purchase of a car;income between 20k to 39k
F;business;some college;young adult;21;civil partnership;0;2;1;0;13912,788;1,636365485;real estate transactions;income less than 20000
F;business;some college;young adult;23;civil partnership;1;2;1;0;24962,31885;2,633654239;wedding ceremony;income between 20k to 39k
F;retiree;secondary education;elder;65;widow / widower;0;1;2;0;28554,253;8,743886539;purchase of a car;income between 20k to 39k
M;business;bachelor's degree;adult;32;married;0;0;0;0;30237,228;0,398744158;real estate transactions;income between 20k to 39k
F;retiree;secondary education;older adult;61;divorced;0;1;3;0;17640,187;8,534766923;real estate transactions;income less than 20000
F;business;secondary education;adult;41;married;2;1;0;0;15133,941;2,808079892;housing transactions;income less than 20000
F;employee;secondary education;older adult;52;married;0;1;0;0;24622,762;1,191592706;housing transactions;income between 20k to 39k
F;civil servant;secondary education;adult;30;married;1;1;0;0;21240,698;5,662762811;getting an education;income between 20k to 39k
F;employee;bachelor's degree;older adult;64;civil partnership;1;0;1;0;22787,943;4,352963403;housing transactions;income between 20k to 39k
F;retiree;secondary education;older adult;60;unmarried;0;1;4;0;30468,18;8,848356224;housing transactions;income between 20k to 39k
F;retiree;secondary education;elder;73;widow / widower;0;1;2;0;21903,521;8,624553578;purchase of a car;income between 20k to 39k
M;business;secondary education;young adult;28;civil partnership;1;1;1;1;30173,703;5,61427829;wedding ceremony;income between 20k to 39k
F;employee;secondary education;adult;41;married;1;1;0;1;17934,496;0,395029737;housing transactions;income less than 20000
F;employee;secondary education;adult;49;civil partnership;0;1;1;0;11938,7;10,42139019;wedding ceremony;income less than 20000
F;employee;secondary education;older adult;50;married;1;1;0;0;22942,571;4,043006822;purchase of a car;income between 20k to 39k
F;employee;secondary education;older adult;52;unmarried;0;1;4;0;22471,631;16,06935618;getting an education;income between 20k to 39k
F;employee;secondary education;older adult;50;married;0;1;0;0;20026,55;2,827144121;housing transactions;income between 20k to 39k
F;retiree;secondary education;older adult;59;married;0;1;0;0;22873,047;11,52497246;purchase of a car;income between 20k to 39k
M;employee;secondary education;adult;37;married;2;1;0;0;32430,361;7,083295502;real estate transactions;income between 20k to 39k
F;employee;secondary education;adult;44;civil partnership;0;1;1;0;37669,985;1,939927625;wedding ceremony;income between 20k to 39k
M;employee;secondary education;adult;43;married;0;1;0;0;69870,203;14,43244325;real estate transactions;income between 40k to 79k
F;business;secondary education;adult;47;widow / widower;0;1;2;0;21247,559;13,62641503;real estate transactions;income between 20k to 39k
M;employee;secondary education;adult;47;married;0;1;0;0;28311,78747;5,836026168;housing transactions;income between 20k to 39k
F;civil servant;secondary education;older adult;58;married;0;1;0;0;23187,0772;14,04394493;housing transactions;income between 20k to 39k
M;business;bachelor's degree;adult;49;civil partnership;0;0;1;0;61398,905;1,272970229;wedding ceremony;income between 40k to 79k
F;employee;secondary education;adult;48;civil partnership;0;1;1;0;20951,298;2,409828356;getting an education;income between 20k to 39k
M;employee;secondary education;older adult;50;divorced;0;1;3;0;31547,17;5,296764366;real estate transactions;income between 20k to 39k
F;business;secondary education;adult;40;married;1;1;0;0;25336,012;4,38046634;housing transactions;income between 20k to 39k
F;retiree;bachelor's degree;older adult;60;married;1;0;0;1;25845,28121;10,49165661;getting an education;income between 20k to 39k
M;employee;secondary education;adult;31;married;0;1;0;0;41521,792;8,58131708;real estate transactions;income between 40k to 79k
F;employee;bachelor's degree;young adult;29;married;0;0;0;0;30110,454;4,427163874;getting an education;income between 20k to 39k
F;employee;bachelor's degree;older adult;54;married;0;0;0;0;31532,97975;10,8295096;purchase of a car;income between 20k to 39k
F;retiree;secondary education;elder;71;widow / widower;0;1;2;0;22220,346;2,621776973;real estate transactions;income between 20k to 39k
F;business;secondary education;adult;35;married;1;1;0;0;36806,42;15,87326359;housing transactions;income between 20k to 39k
F;retiree;secondary education;older adult;63;widow / widower;0;1;2;0;14711,643;12,46561522;getting an education;income less than 20000
F;business;bachelor's degree;adult;44;married;2;0;0;0;52340,278;2,576987545;housing transactions;income between 40k to 79k
